,0,1,2,3,4,5,6,7,8,9,10,11
224,oh,that,s,funny,,,,,,,,
225,and,the,little,prince,,,,,,,,
226,broke,into,a,lovely,peal,of,,,,,,
227,laughter,which,irritated,me,very,,,,,,,
228,much,i,prefer,people,,,,,,,,
229,to,take,my,misfortunes,seriously,,,,,,,
230,then,he,added,so,,,,,,,,
231,you,also,come,from,the,sky,,,,,,
232,what,planet,are,you,from,,,,,,,
233,i,caught,a,glimpse,,,,,,,,
234,into,the,mystery,of,his,presence,and,i,asked,,,
235,abruptly,so,you,come,,,,,,,,
236,from,another,planet,then,,,,,,,,
237,but,he,didn,t,answer,he,shook,,,,,
238,his,head,slowly,whilst,looking,at,my,airplane,,,,
239,it,s,TRUE,that,,,,,,,,
240,you,can,t,have,come,from,far,away,in,,,
241,that,and,he,drifted,,,,,,,,
242,into,a,daydream,which,lasted,a,long,,,,,
243,while,then,taking,,,,,,,,,
244,my,sheep,out,of,his,pocket,he,,,,,
245,sank,himself,into,the,contemplation,of,,,,,,
246,his,treasure,you,can,imagine,,,,,,,
247,how,my,curiosity,was,aroused,,,,,,,
248,by,this,small,disclosure,,,,,,,,
249,about,the,other,planets,so,,,,,,,
250,i,tried,to,find,out,more,,,,,,
251,where,are,you,from,my,little,fellow,,,,,
252,where,s,this,where,i,live,,,,,,
253,of,yours,where,do,you,take,,,,,,
254,my,sheep,off,to,,,,,,,,
255,after,a,reflective,silence,he,,,,,,,
256,answered,what,s,good,,,,,,,,
257,about,the,box,you,ve,given,,,,,,
258,is,that,at,night,he,can,use,it,as,a,house,
259,that,s,right,,,,,,,,,
260,and,if,you,re,good,i,ll,give,you,a,rope,
261,to,tie,him,up,with,during,the,day,and,,,
262,a,stake,the,offer,seemed,,,,,,,
263,to,shock,the,little,prince,tie,,,,,,
264,him,up,what,a,funny,idea,,,,,,
265,but,if,you,don,t,tie,,,,,,
266,him,up,he,ll,wander,off,and,get,lost,,,
267,my,friend,broke,into,,,,,,,,
268,another,peal,of,laughter,,,,,,,,
269,where,do,you,think,he,d,go,,,,,
270,anywhere,straight,ahead,,,,,,,,,
271,then,the,little,prince,said,,,,,,,
272,gravely,that,doesn,t,matter,,,,,,,
273,where,i,live,everything,,,,,,,,
274,is,so,small,and,,,,,,,,
275,perhaps,with,a,hint,of,sadness,he,added,,,,
276,straight,ahead,you,can,t,go,,,,,,
277,far,,,,,,,,,,,
278,,,,,,,,,,,,
279,,,,,,,,,,,,
280,,,,,,,,,,,,
281,,,,,,,,,,,,
