time,f0,intensity
7.65,217.22,0.31
7.66,218.74,0.33
7.67,215.71,0.3
7.68,211.77,0.24
7.69,213.26,0.22
7.7,213.77,0.23
7.71,214.76,0.25
7.72,216.86,0.26
7.73,218.27,0.27
7.74,218.97,0.29
7.75,220.51,0.29
7.76,220.63,0.29
7.77,217.96,0.27
7.78,212.46,0.25
7.79,203.91,0.22
7.8,211.47,0.13
7.81,206.51,0.05
7.82,218.91,0.02
7.83,220.49,0.01
7.84,214.51,0.01
7.85,214.68,0
7.86,148.66,0
7.87,152.86,0.07
7.88,163.57,0.1
7.89,169.49,0.09
7.9,175.42,0.07
7.91,181.35,0.05
7.92,187.27,0.09
7.93,183.46,0.13
7.94,177.39,0.13
7.95,168.77,0.1
7.96,162.88,0.06
7.97,166.99,0.03
7.98,164.74,0.01
7.99,175.86,0
8,183.65,0
8.01,189.89,0
8.02,196.12,0
8.03,202.36,0
8.04,208.6,0
8.05,214.83,0
8.06,221.07,0
8.07,227.3,0
8.08,233.54,0.11
8.09,239.78,0.14
8.1,246.01,0.13
8.11,211.04,0.25
8.12,200.06,0.3
8.13,191.49,0.21
8.14,200.8,0.08
8.15,199.01,0.02
8.16,198.14,0.01
8.17,202.04,0
8.18,199.44,0
8.19,251.25,0
8.2,241.18,0
8.21,153.52,0
8.22,182.05,0.02
8.23,146.33,0.07
8.24,160.34,0.07
8.25,90.54,0.03
8.26,186.37,0.02
8.27,85.84,0.02
8.28,248.74,0.04
8.29,276.96,0.05
8.3,288.21,0.05
8.31,291.03,0.03
8.32,280.45,0.03
8.33,245.1,0.06
8.34,244.08,0.2
8.35,232.29,0.28
8.36,223.09,0.29
8.37,218.55,0.29
8.38,214.57,0.27
8.39,211.5,0.27
8.4,209.78,0.27
8.41,206.13,0.26
8.42,195.59,0.23
8.43,199.68,0.21
8.44,199.02,0.19
8.45,195.56,0.15
8.46,186.43,0.11
8.47,103,0.07
8.48,75.15,0.06
8.49,104.16,0.07
8.5,231.71,0.06
8.51,239.56,0.03
8.52,237.97,0.02
8.53,236.38,0.03
8.54,234.8,0.06
8.55,233.21,0.1
8.56,231.62,0.12
8.57,230.03,0.12
8.58,228.45,0.14
8.59,226.86,0.17
8.6,225.27,0.18
8.61,223.68,0.18
8.62,222.09,0.13
8.63,220.51,0.06
8.64,218.92,0.03
8.65,217.33,0.02
8.66,215.74,0.01
8.67,214.16,0.01
8.68,212.57,0.01
8.69,210.98,0.01
8.7,209.39,0.01
8.71,207.81,0.02
8.72,206.22,0.08
8.73,204.63,0.21
8.74,214.73,0.27
8.75,210.9,0.28
8.76,210.75,0.27
8.77,200.07,0.23
8.78,195.26,0.22
8.79,189.32,0.2
8.8,185.34,0.17
8.81,181.4,0.14
8.82,172.77,0.12
8.83,167.82,0.1
8.84,159.7,0.09
8.85,155.39,0.09
8.86,169.21,0.07
8.87,237.15,0.06
8.88,68.82,0.05
8.89,68.68,0.05
8.9,68.92,0.05
8.91,110.05,0.04
8.92,56.25,0.03
8.93,58.73,0.02
8.94,61.21,0.01
8.95,63.69,0.01
8.96,66.16,0.02
8.97,68.64,0.03
8.98,71.12,0.07
8.99,73.6,0.1
9,76.08,0.11
9.01,78.55,0.13
9.02,81.03,0.14
9.03,83.51,0.15
9.04,85.99,0.14
9.05,88.47,0.12
9.06,90.94,0.12
9.07,93.42,0.11
9.08,95.9,0.09
9.09,98.38,0.07
9.1,100.86,0.03
9.11,103.33,0.01
9.12,105.81,0
9.13,108.29,0.01
9.14,110.77,0.02
9.15,113.25,0.02
9.16,115.72,0.01
9.17,118.2,0
9.18,120.68,0
9.19,123.16,0
9.2,125.64,0
9.21,128.11,0
9.22,130.59,0
9.23,133.07,0
9.24,135.55,0
9.25,138.02,0
9.26,140.5,0
9.27,142.98,0
9.28,145.46,0
9.29,147.94,0
9.3,150.41,0
9.31,152.89,0
9.32,155.37,0
9.33,157.85,0
9.34,160.33,0
9.35,162.8,0
9.36,165.28,0
9.37,167.76,0
9.38,170.24,0
9.39,172.72,0
9.4,175.19,0
9.41,177.67,0
9.42,180.15,0
9.43,182.63,0
9.44,185.11,0
9.45,187.58,0
9.46,190.06,0
9.47,192.54,0
9.48,195.02,0
9.49,197.49,0
9.5,199.97,0
9.51,202.45,0
9.52,204.93,0
9.53,207.41,0
9.54,209.88,0
9.55,212.36,0
9.56,214.84,0
9.57,217.32,0
9.58,224.11,0.01
9.59,241.2,0.17
9.6,218.06,0.27
9.61,218.98,0.31
9.62,213.03,0.31
9.63,212.2,0.32
9.64,211.18,0.33
9.65,210.33,0.33
9.66,206.46,0.29
9.67,196.38,0.21
9.68,183.25,0.1
9.69,154.09,0.02
9.7,84.2,0.01
9.71,182.04,0.01
9.72,99.98,0
9.73,119.89,0.06
9.74,274.34,0.09
9.75,282.99,0.23
9.76,226.58,0.32
9.77,219.95,0.33
9.78,217.71,0.29
9.79,215.86,0.19
9.8,198.24,0.07
9.81,185.17,0.03
9.82,182.33,0.01
9.83,107.95,0
9.84,209.2,0
9.85,215.27,0
9.86,203.04,0
9.87,205.26,0
9.88,207.48,0
9.89,209.7,0
9.9,211.92,0.06
9.91,214.14,0.14
9.92,216.36,0.17
9.93,218.58,0.14
9.94,220.8,0.07
9.95,223.02,0.06
9.96,225.09,0.17
9.97,225.24,0.29
9.98,219.48,0.33
9.99,211.34,0.33
10,208.53,0.34
10.01,205.46,0.34
10.02,203.26,0.34
10.03,201.95,0.33
10.04,199.85,0.29
10.05,195.49,0.2
10.06,192.07,0.1
10.07,196.35,0.06
10.08,206.82,0.04
10.09,209.63,0.03
10.1,213.14,0.02
10.11,212.81,0.01
10.12,223.23,0
10.13,195.59,0.03
10.14,82.53,0.04
10.15,87.15,0.03
10.16,91.78,0.02
10.17,96.41,0.01
10.18,101.03,0
10.19,105.66,0
10.2,146.98,0.04
10.21,227.31,0.1
10.22,224.45,0.14
10.23,228.96,0.15
10.24,235.86,0.19
10.25,243.4,0.26
10.26,247.67,0.29
10.27,247.5,0.27
10.28,254.55,0.25
10.29,266.35,0.25
10.3,272.37,0.26
10.31,277.61,0.25
10.32,282.95,0.24
10.33,284.69,0.24
10.34,283.68,0.26
10.35,288.44,0.31
10.36,291.12,0.33
10.37,294.22,0.33
10.38,296.14,0.34
10.39,297.48,0.34
10.4,297.7,0.34
10.41,296.55,0.34
10.42,293.86,0.34
10.43,289.85,0.32
10.44,282.97,0.28
10.45,270.63,0.19
10.46,229.08,0.08
10.47,199.41,0.01
10.48,243.39,0.01
10.49,254.28,0.01
10.5,246.2,0.01
10.51,232.06,0.04
10.52,234.48,0.05
10.53,236.9,0.03
10.54,239.32,0.02
10.55,241.74,0.04
10.56,247.76,0.12
10.57,258.66,0.22
10.58,262.27,0.31
10.59,256.68,0.34
10.6,251.29,0.34
10.61,246.37,0.34
10.62,243.15,0.34
10.63,244.84,0.31
10.64,249.5,0.27
10.65,248.69,0.27
10.66,246.08,0.28
10.67,243.1,0.28
10.68,244.74,0.3
10.69,240.98,0.32
10.7,226.91,0.29
10.71,220.87,0.28
10.72,217,0.29
10.73,214.94,0.29
10.74,215.11,0.26
10.75,213.46,0.24
10.76,209.96,0.21
10.77,206.71,0.19
10.78,203.02,0.17
10.79,199.2,0.15
10.8,195.62,0.12
10.81,193,0.1
10.82,195.41,0.1
10.83,201.22,0.13
10.84,205.62,0.2
10.85,211.92,0.27
